ave_train_loss,ave_temporal_loss,ave_freq_loss,mean_rmse_position,mean_rmse_velocity
1.00001511,0.50000758,1.00001511,0.19896188394930017,0.7012413106410681
0.20153587,0.10076796,0.20153587,0.16631843604585328,0.6258570911786786
0.0437063,0.02185316,0.0437063,0.13396264676372568,0.5814213247842912
0.012611,0.0063055,0.012611,0.12241963825225587,0.5621521354136216
0.00816114,0.00408057,0.00816114,0.09167713709631209,0.4724848024327677
0.00673862,0.00336931,0.00673862,0.08523212449239437,0.42587670106104775
0.00599937,0.00299969,0.00599937,0.07530090534920776,0.4015632748480383
0.0055632,0.0027816,0.0055632,0.06736645708455194,0.3860425398453649
0.00533064,0.00266532,0.00533064,0.07147664331795665,0.3830415856673217
0.00506543,0.00253271,0.00506543,0.06636490490540665,0.3889137088597868
0.00489611,0.00244805,0.00489611,0.06041081189043656,0.3765063852511978
0.00462829,0.00231415,0.00462829,0.05702578974392345,0.3742661286367677
0.00441628,0.00220814,0.00441628,0.06338028744018907,0.38944305806985435
0.00418216,0.00209108,0.00418216,0.06235244586803481,0.3808749919118563
0.0039835,0.00199175,0.0039835,0.05534011620029958,0.3728733939879388
0.00384115,0.00192058,0.00384115,0.05518448227064654,0.36775197041418517
0.00356555,0.00178277,0.00356555,0.057648072444350384,0.36756051297008285
0.00342352,0.00171176,0.00342352,0.05500889438685925,0.3680278289288105
0.00322677,0.00161338,0.00322677,0.05088765918900542,0.3745653819845943
0.00304845,0.00152423,0.00304845,0.05050904869699785,0.36927068875070773
0.00288778,0.00144389,0.00288778,0.04983981214969614,0.359731242578195
0.00298254,0.00149127,0.00298254,0.050899780049890146,0.3663196986076325
0.00278416,0.00139208,0.00278416,0.04968710000143582,0.3648283452691497
0.00278063,0.00139031,0.00278063,0.05036221284373471,0.3716943983869198
0.00249559,0.00124779,0.00249559,0.04847923060962649,0.3589291385311572
0.00217475,0.00108737,0.00217475,0.048390354823878406,0.3603285555572229
0.00214501,0.00107251,0.00214501,0.04780279015564042,0.36010160592334167
0.00213356,0.00106678,0.00213356,0.04809713124520556,0.3617252781215733
0.00212158,0.00106079,0.00212158,0.04784387300970454,0.36133104089041523
0.00211426,0.00105713,0.00211426,0.04724908262546199,0.35983847806953373
0.00210671,0.00105335,0.00210671,0.047492416460188196,0.3623546579162443
0.00209997,0.00104999,0.00209997,0.047199413197328635,0.3607493113002145
0.00208984,0.00104492,0.00208984,0.046610903100027315,0.36037465261038654
0.00207984,0.00103992,0.00207984,0.04608189147697434,0.36016197578008574
0.00216365,0.00108182,0.00216365,0.04648507136945607,0.36122204183436496
0.00206535,0.00103267,0.00206535,0.046628076766680154,0.36048142198362365
0.00205664,0.00102832,0.00205664,0.046726190499162816,0.35991917242564325
0.00204508,0.00102254,0.00204508,0.04573508912887365,0.35936326741160973
0.00248146,0.00124073,0.00248146,0.04645787735555618,0.36083391162760675
0.00205791,0.00102896,0.00205791,0.04654499734418605,0.35986470043621993
