ave_train_loss,ave_temporal_loss,ave_freq_loss,mean_rmse_position,mean_rmse_velocity
6.81701552,0.85131726,6.81701552,0.2683527586391063,0.7919405044464063
3.69483541,0.46227572,3.69483541,0.18974151549679444,0.6900808562271988
2.17750921,0.27265867,2.17750921,0.16520380025833814,0.6594636542119486
1.08466966,0.13619872,1.08466966,0.15444325053115787,0.6024826424360453
0.44085385,0.05568466,0.44085385,0.1371404637763098,0.5238468532002123
0.1526022,0.01965918,0.1526022,0.12833117532636168,0.4855476706134633
0.05197447,0.00706963,0.05197447,0.1137053769651838,0.4504658855825598
0.02672014,0.00391997,0.02672014,0.10978506432078085,0.4412822667947044
0.0204101,0.00311214,0.0204101,0.10340608184677312,0.42426389183415397
0.01912218,0.00297487,0.01912218,0.10275530300775758,0.41816214192127715
0.01923438,0.00298279,0.01923438,0.09548995327611738,0.40950217470784966
0.01867157,0.00291761,0.01867157,0.09366524227232939,0.4078363127229686
0.01797582,0.00281659,0.01797582,0.09358588345554059,0.3989959084743748
0.01775412,0.00278267,0.01775412,0.08797089987341107,0.4007870635330762
0.01725438,0.00272445,0.01725438,0.08755228531229772,0.3913081225928744
0.01689946,0.00266707,0.01689946,0.08711905723422471,0.3917156053027456
0.01699372,0.00266926,0.01699372,0.08436920386492074,0.39702544823195945
0.0166708,0.00264139,0.0166708,0.08234443575807848,0.3888705785414445
0.01629674,0.00261136,0.01629674,0.08029886881349331,0.3893520447722628
0.01679036,0.00267605,0.01679036,0.08131258680339437,0.3926811886599854
0.01673834,0.00264859,0.01673834,0.07666159888079928,0.38652846884219744
0.01552372,0.00249434,0.01552372,0.07779093835035236,0.3886037765683044
0.01552323,0.00249673,0.01552323,0.07531278870315868,0.3840430801658971
0.01564531,0.00251849,0.01564531,0.07441428195871155,0.3829104519087871
0.01429525,0.00234956,0.01429525,0.07530633830214452,0.38444602256120103
0.01331217,0.00223829,0.01331217,0.07249367777755081,0.38245260097678
0.01313457,0.00220673,0.01313457,0.0725959617778804,0.3826584398526442
0.01306348,0.00219087,0.01306348,0.0724283999885498,0.3831498733821949
0.01300778,0.00218095,0.01300778,0.07251081878325959,0.38363271062073273
0.01297109,0.00217251,0.01297109,0.0725387978277989,0.38256929970970377
0.01297729,0.00216802,0.01297729,0.07257377841247842,0.38269676936372543
0.01288748,0.00215672,0.01288748,0.07170072611145593,0.38205793827452667
0.01284971,0.0021508,0.01284971,0.07178881997046371,0.3825545276522261
0.01280244,0.00214691,0.01280244,0.07174296634405115,0.38208178732086506
0.01277502,0.00213766,0.01277502,0.07152656203540837,0.382865574104955
0.01272737,0.00212935,0.01272737,0.0709498016766327,0.3812622514707057
0.01299819,0.00222627,0.01299819,0.07135483230382551,0.38102676684679715
0.01263773,0.00211987,0.01263773,0.07140259870047112,0.3819492170326632
0.0126356,0.0021149,0.0126356,0.0714292500036761,0.3817328525705975
0.01253719,0.00210349,0.01253719,0.07064187501882155,0.38153960704339557
